image_id,proposal_id,predicted_class,score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,visual_validity,evidence_strength,recommended_action,inspection_status,mllm_prior_status,llm_final_status,llm_final_decision,llm_final_confidence,final_decision,final_decision_source,fallback_used,gt_correct,tp_fp_fn_label_for_eval,max_iou_same_class,matched_gt_id,degenerate_bbox,score_baseline_020,deterministic_gate_256,candidate_pool_selected,candidate_reasons,optional_tool_plan_status,optional_tool_plan_selected,optional_tools_used
0,0,bird,0.953125,433.0,211.0,616.0,385.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.292517,2,False,keep,drop,True,top_score_sanity_check,not_called,,
0,1,bird,0.736328125,14.0,134.0,155.0,236.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.212191,0,False,keep,drop,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
0,2,bird,0.6982421875,197.0,545.0,370.0,672.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
0,3,bird,0.1475830078125,197.0,544.0,479.0,672.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
0,4,bird,0.140869140625,12.0,153.0,75.0,235.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.05297,0,False,drop,drop,True,uncertain_score_band|border_touching,not_called,,
0,5,bird,0.119384765625,60.0,133.0,155.0,234.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.174885,0,False,drop,drop,True,uncertain_score_band|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
1,0,person,0.62060546875,369.0,199.0,569.0,693.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,False,fp,0.470651,1,False,keep,keep,True,duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
1,1,person,0.5244140625,2.0,51.0,568.0,772.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,True,tp,0.687746,0,False,keep,keep,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
1,2,train,0.11456298828125,1.0,0.0,569.0,748.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
1,3,person,0.10595703125,222.0,199.0,567.0,697.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,True,tp,0.579177,1,False,drop,keep,True,uncertain_score_band|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
